Song URL,Song Title,Album Title,Artist Names
https://music.youtube.com/watch?v=XM6DWHzXVnM,Could You Use Me?,Girl Crazy (Original Soundtrack Recording),"Mickey Rooney, Judy Garland"
https://music.youtube.com/watch?v=y6S1LsZ00vY,Crisantemo,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=z92avHmgDRA,Crosseyed and Painless (2005 Remaster),Remain in Light (Deluxe Version),Talking Heads
https://music.youtube.com/watch?v=2zGc7EP9O0I,Cryin' Mood,The Early Years - Part 1 (1935-1938),Ella Fitzgerald
https://music.youtube.com/watch?v=5elMmh0Tr_o,Crystal Memories,T-Wave,Masayoshi Takanaka
https://music.youtube.com/watch?v=60EOjHEzQpE,"Cuentos de España: No. 3, Miramar, Valencia",Ricard Viñes: Enregistraments Històrics 1929-1936,Ricard Viñes
https://music.youtube.com/watch?v=46UGsFXMank,Cuerpo Y Alma,Esperanza,Esperanza Spalding
https://music.youtube.com/watch?v=nRpaXM1QpIU,Cuidado Con El Perro,Rojo,Barricada
https://music.youtube.com/watch?v=dDlGNXzmVmI,Dallas Texas,The Fantastic Laurel Aitken (Deluxe),Laurel Aitken
https://music.youtube.com/watch?v=Qg7cAhgGZp4,Damisela Encantadora,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=tkyZ6dzYdtQ,Dance Specialty,"George & Ira Gershwin's Oh, Kay!","Ira Gershwin, George"
https://music.youtube.com/watch?v=6t5SwSeccpw,Dancehall Rock,Too Experienced - The Best of Barrington Levy,Barrington Levy
https://music.youtube.com/watch?v=rAQNTwdqmRM,Dancing with My Baby,The Fantastic Laurel Aitken (Deluxe),Laurel Aitken
https://music.youtube.com/watch?v=YJvZVU2Hj4k,Danza Lucumi,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=xLIB-I2n2x4,Danza Negra,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=xcLDU0ktr3g,Danza Negra 2,Selección Dorada,Ernesto Lecuona
https://music.youtube.com/watch?v=xEe5_ti60Hg,Darktown Strutters Ball,The Early Years - Part 1 (1935-1938),Ella Fitzgerald And Her Savoy Eight
https://music.youtube.com/watch?v=0L0i6HYJ-EA,Days of Lavender,Promises Ltd.,Promises Ltd.
https://music.youtube.com/watch?v=KptOdEYDYRo,De La Ausencia Y De Ti,Cuando Digo Futuro,Silvio Rodriguez
https://music.youtube.com/watch?v=fb0hbHjofRc,Dear Little Girl,"George & Ira Gershwin's Oh, Kay!","Ira Gershwin, George"
https://music.youtube.com/watch?v=Hz3dzTLkt2w,"Debussy / Arr. Maisky for Cello and Piano: La plus que lente, CD 128, L. 121",Martha Argerich Plays Debussy,"Mischa Maisky, Martha Argerich"
https://music.youtube.com/watch?v=IR8vad1GgwE,"Debussy / Arr. Maisky for Cello and Piano: Preludes, Book 1, CD 125, L. 117: No. 12, Minstrels",Martha Argerich Plays Debussy,"Mischa Maisky, Martha Argerich"
https://music.youtube.com/watch?v=onNjwxE6bDg,"Debussy: Cello Sonata in D Minor, CD 144, L. 135: I. Prologue. Lent - Sostenuto e molto risoluto",Martha Argerich Plays Debussy,"Mischa Maisky, Martha Argerich"
https://music.youtube.com/watch?v=iMXtTpe1Nhs,"Debussy: Cello Sonata in D Minor, CD 144, L. 135: II. Sérénade. Modérément animé - III. Final. Animé, léger et nerveux",Martha Argerich Plays Debussy,"Mischa Maisky, Martha Argerich"
https://music.youtube.com/watch?v=f-MhXtqKtLQ,"Debussy: En blanc et noir, pour piano à quatre mains, CD 142, L. 134: I. Avec emportement (Live)",Martha Argerich Plays Debussy,Martha Argerich
https://music.youtube.com/watch?v=GJZnSIcffOI,"Debussy: En blanc et noir, pour piano à quatre mains, CD 142, L. 134: II. Lent, sombre (Live)",Martha Argerich Plays Debussy,Martha Argerich
https://music.youtube.com/watch?v=gmz7JOoBZo8,"Debussy: En blanc et noir, pour piano à quatre mains, CD 142, L. 134: III. Scherzando (Live)",Martha Argerich Plays Debussy,Martha Argerich
https://music.youtube.com/watch?v=xlvtNYb6lr8,"Debussy: Petite suite, CD 71, L. 65: I. En bateau (Live)",Martha Argerich Plays Debussy,Martha Argerich
https://music.youtube.com/watch?v=o9sY8M62IFw,"Debussy: Petite suite, CD 71, L. 65: II. Cortège (Live)",Martha Argerich Plays Debussy,Martha Argerich
https://music.youtube.com/watch?v=1sORKrxLvfI,"Debussy: Petite suite, CD 71, L. 65: III. Menuet (Live)",Martha Argerich Plays Debussy,Martha Argerich
